Simulation_ID,Player_Count,Director_Count,Shadow_Count,Guardian_Count,Investigator_Count,Wildcard_Count,Citizen_Count,Guardian_Protections_Quota,Investigator_Checks_Quota,Strategy_Name,Total_Rounds,Chronological_Event_Log,Winner_Team,Winning_Reason,Survival_Rate_Pct,Final_Alive_Players
"SIM_001","4","0","1","1","1","0","1","1","1","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","75.0%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (DOCTOR)"
"SIM_002","4","0","1","1","1","0","1","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","75.0%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (MAFIA)"
"SIM_003","4","0","1","1","1","0","1","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","75.0%","Player_2 (POLICE); Player_3 (VILLAGER); Player_4 (MAFIA)"
"SIM_004","4","0","1","1","1","0","1","1","1","Guardian Protection Clutch","1","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","VILLAGERS","Unknown","75.0%","Player_2 (VILLAGER); Player_3 (POLICE); Player_4 (DOCTOR)"
"SIM_005","4","0","1","1","1","0","1","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (POLICE); Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (DOCTOR)"
"SIM_006","5","1","1","1","1","0","1","1","1","Optimal Citizen Deduction","1","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","MAFIA","Unknown","80.0%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (GODFATHER); Player_5 (DOCTOR)"
"SIM_007","5","1","1","1","1","0","1","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","80.0%","Player_2 (VILLAGER); Player_3 (GODFATHER); Player_4 (DOCTOR); Player_5 (POLICE)"
"SIM_008","5","1","1","1","1","0","1","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","80.0%","Player_2 (VILLAGER); Player_3 (GODFATHER); Player_4 (POLICE); Player_5 (DOCTOR)"
"SIM_009","5","1","1","1","1","0","1","1","1","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","80.0%","Player_2 (POLICE); Player_3 (GODFATHER); Player_4 (DOCTOR); Player_5 (VILLAGER)"
"SIM_010","5","1","1","1","1","0","1","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","80.0%","Player_1 (MAFIA); Player_3 (DOCTOR); Player_4 (POLICE); Player_5 (VILLAGER)"
